OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20220519-1-NAKED	0	248	20220519_BOTTOM_1_0004_0001.mp4	40810	71.34739	20220519_BOTTOM_1_0004_0001.mp4	51599	74.34733	1
20220519-1-NAKED	1	224	20220519_BOTTOM_1_0005_0001.mp4	31749	88.82791	20220519_BOTTOM_1_0005_0001.mp4	42538	91.82785	1
20220519-1-NAKED	2	232	20220519_BOTTOM_1_0006_0001.mp4	11709	103.25565	20220519_BOTTOM_1_0006_0001.mp4	22498	106.25559	1
20220519-1-NAKED	3	211	20220519_BOTTOM_1_0006_0001.mp4	62351	117.33694	20220519_BOTTOM_1_0007_0001.mp4	1212	120.33688	1
20220519-1-NAKED	4	226	20220519_BOTTOM_1_0007_0001.mp4	52481	134.59251	20220519_BOTTOM_1_0007_0001.mp4	63270	137.59246	1
20220519-1-NAKED	5	203	20220519_BOTTOM_1_0008_0001.mp4	31225	148.68242	20220519_BOTTOM_1_0008_0001.mp4	42014	151.68236	1
20220519-1-NAKED	6	207	20220519_BOTTOM_1_0009_0001.mp4	16235	164.51435	20220519_BOTTOM_1_0009_0001.mp4	27024	167.51429	1
20220519-1-NAKED	7	221	20220519_BOTTOM_1_0009_0001.mp4	64280	177.87353	20220519_BOTTOM_1_0010_0001.mp4	3141	180.87347	1
20220519-1-NAKED	8	264	20220519_BOTTOM_1_0010_0001.mp4	69735	199.39030	20220519_BOTTOM_1_0011_0001.mp4	8596	202.39024	1
20220519-1-NAKED	9	262	20220519_BOTTOM_1_0011_0001.mp4	39379	210.94963	20220519_BOTTOM_1_0011_0001.mp4	50168	213.94957	1
20220519-1-NAKED	10	265	20220519_BOTTOM_1_0012_0001.mp4	14490	224.02908	20220519_BOTTOM_1_0012_0001.mp4	25279	227.02902	1
20220519-2-NAKED	0	266	20220519_BOTTOM_2_0001_0001.mp4	16417	4.56484	20220519_BOTTOM_2_0001_0001.mp4	27206	7.56478	1
20220519-2-NAKED	1	253	20220519_BOTTOM_2_0001_0001.mp4	68590	19.07183	20220519_BOTTOM_2_0002_0001.mp4	7451	22.07177	1
20220519-2-NAKED	2	270	20220519_BOTTOM_2_0002_0001.mp4	39364	30.94536	20220519_BOTTOM_2_0002_0001.mp4	50153	33.94530	1
20220519-2-NAKED	3	201	20220519_BOTTOM_2_0003_0001.mp4	12979	43.60884	20220519_BOTTOM_2_0003_0001.mp4	23768	46.60878	1
20220519-2-NAKED	4	237	20220519_BOTTOM_2_0003_0001.mp4	57457	55.97620	20220519_BOTTOM_2_0003_0001.mp4	68246	58.97614	1
20220519-2-NAKED	5	240	20220519_BOTTOM_2_0004_0001.mp4	40357	71.22143	20220519_BOTTOM_2_0004_0001.mp4	51146	74.22137	1
20220521-3-NAKED	0	255	20220521_BOTTOM_3_0003_0001.mp4	49534	53.77316	20220521_BOTTOM_3_0003_0001.mp4	60323	56.77311	1
20220521-3-NAKED	1	216	20220521_BOTTOM_3_0004_0001.mp4	22468	66.24729	20220521_BOTTOM_3_0004_0001.mp4	33257	69.24723	1
20220521-3-NAKED	2	269	20220521_BOTTOM_3_0005_0001.mp4	6811	81.89376	20220521_BOTTOM_3_0005_0001.mp4	17600	84.89370	1
20220521-3-NAKED	3	231	20220521_BOTTOM_3_0005_0001.mp4	61685	97.15178	20220521_BOTTOM_3_0006_0001.mp4	546	100.15172	1
20220521-3-NAKED	4	245	20220521_BOTTOM_3_0006_0001.mp4	42716	111.87732	20220521_BOTTOM_3_0006_0001.mp4	53505	114.87726	1
20220521-3-NAKED	5	209	20220521_BOTTOM_3_0007_0001.mp4	25894	127.19985	20220521_BOTTOM_3_0007_0001.mp4	36683	130.19979	1
20220521-4-NAKED	0	241	20220521_BOTTOM_4_0001_0001.mp4	29532	8.21154	20220521_BOTTOM_4_0001_0001.mp4	40412	11.23678	1
20220521-4-NAKED	1	272	20220521_BOTTOM_4_0002_0001.mp4	8471	22.35539	20220521_BOTTOM_4_0002_0001.mp4	19369	25.38564	1
20220521-4-NAKED	2	244	20220521_BOTTOM_4_0002_0001.mp4	58870	36.36911	20220521_BOTTOM_4_0002_0001.mp4	69789	39.40520	1
20220521-4-NAKED	3	219	20220521_BOTTOM_4_0003_0001.mp4	31630	48.79486	20220521_BOTTOM_4_0003_0001.mp4	42680	51.86737	1
20220521-4-NAKED	4	259	20220521_BOTTOM_4_0004_0001.mp4	7072	61.96635	20220521_BOTTOM_4_0004_0001.mp4	18042	65.01662	1
20220523-1-NAKED	0	230	20220523_BOTTOM_1_0001_0001.mp4	63931	17.77637	20220523_BOTTOM_1_0002_0001.mp4	2792	20.77631	1
20220523-1-NAKED	1	274	20220523_BOTTOM_1_0002_0001.mp4	62716	37.43851	20220523_BOTTOM_1_0003_0001.mp4	1577	40.43845	1
20220523-1-NAKED	2	205	20220523_BOTTOM_1_0003_0001.mp4	38211	50.62474	20220523_BOTTOM_1_0003_0001.mp4	49000	53.62468	1
20220523-2-NAKED	0	214	20220523_BOTTOM_2_0002_0001.mp4	26490	27.36567	20220523_BOTTOM_2_0002_0001.mp4	37279	30.36561	1
20220523-2-NAKED	1	256	20220523_BOTTOM_2_0003_0001.mp4	16222	44.51058	20220523_BOTTOM_2_0003_0001.mp4	27011	47.51052	1
20220523-2-NAKED	2	233	20220523_BOTTOM_2_0003_0001.mp4	71176	59.79084	20220523_BOTTOM_2_0004_0001.mp4	10037	62.79078	1
20220523-2-NAKED	3	251	20220523_BOTTOM_2_0004_0001.mp4	46260	72.86279	20220523_BOTTOM_2_0004_0001.mp4	57049	75.86273	1
20220523-3-NAKED	0	212	20220523_BOTTOM_3_0001_0001.mp4	31928	8.87776	20220523_BOTTOM_3_0001_0001.mp4	42717	11.87770	1
20220523-3-NAKED	1	227	20220523_BOTTOM_3_0002_0001.mp4	14065	23.91083	20220523_BOTTOM_3_0002_0001.mp4	24854	26.91077	1
20220525-3-NAKED	0	235	20220525_BOTTOM_3_0003_0001.mp4	58740	56.33294	20220525_BOTTOM_3_0003_0001.mp4	69529	59.33288	1
20220525-3-NAKED	1	218	20220525_BOTTOM_3_0004_0001.mp4	34737	69.65876	20220525_BOTTOM_3_0004_0001.mp4	45526	72.65870	1
20220525-3-NAKED	2	249	20220525_BOTTOM_3_0005_0001.mp4	2252	80.62610	20220525_BOTTOM_3_0005_0001.mp4	13041	83.62604	1
20220525-3-NAKED	3	208	20220525_BOTTOM_3_0005_0001.mp4	67001	98.62992	20220525_BOTTOM_3_0006_0001.mp4	5862	101.62986	1
20220525-4-NAKED	0	228	20220525_BOTTOM_4_0001_0001.mp4	14173	3.94088	20220525_BOTTOM_4_0001_0001.mp4	24962	6.94082	1
20220525-4-NAKED	1	243	20220525_BOTTOM_4_0001_0001.mp4	62212	17.29839	20220525_BOTTOM_4_0002_0001.mp4	1073	20.29833	1
20220525-4-NAKED	2	217	20220525_BOTTOM_4_0002_0001.mp4	41139	31.43891	20220525_BOTTOM_4_0002_0001.mp4	51928	34.43885	1
20220525-4-NAKED	3	223	20220525_BOTTOM_4_0003_0001.mp4	13641	43.79292	20220525_BOTTOM_4_0003_0001.mp4	24430	46.79286	1
20220525-4-NAKED	4	260	20220525_BOTTOM_4_0003_0001.mp4	56568	55.72901	20220525_BOTTOM_4_0003_0001.mp4	67357	58.72895	1
20220525-4-NAKED	5	236	20220525_BOTTOM_4_0004_0001.mp4	36563	70.16649	20220525_BOTTOM_4_0004_0001.mp4	47352	73.16643	1
20220525-4-NAKED	6	215	20220525_BOTTOM_4_0005_0001.mp4	9641	82.68065	20220525_BOTTOM_4_0005_0001.mp4	20430	85.68060	1
20220525-4-NAKED	7	225	20220525_BOTTOM_4_0005_0001.mp4	58536	96.27618	20220525_BOTTOM_4_0005_0001.mp4	69325	99.27612	1
20220525-4-NAKED	8	252	20220525_BOTTOM_4_0006_0001.mp4	44957	112.50044	20220525_BOTTOM_4_0006_0001.mp4	55746	115.50039	1
20220525-4-NAKED	9	220	20220525_BOTTOM_4_0007_0001.mp4	13263	123.68773	20220525_BOTTOM_4_0007_0001.mp4	24052	126.68767	1
20220525-4-NAKED	10	268	20220525_BOTTOM_4_0007_0001.mp4	54668	135.20062	20220525_BOTTOM_4_0007_0001.mp4	65457	138.20056	1
20220525-4-NAKED	11	247	20220525_BOTTOM_4_0008_0001.mp4	33507	149.31695	20220525_BOTTOM_4_0008_0001.mp4	44296	152.31689	1
20220525-5-NAKED	0	254	20220525_BOTTOM_5_0001_0001.mp4	22880	6.36191	20220525_BOTTOM_5_0001_0001.mp4	33669	9.36185	1
20220525-5-NAKED	1	242	20220525_BOTTOM_5_0001_0001.mp4	70315	19.55148	20220525_BOTTOM_5_0002_0001.mp4	9176	22.55142	1
20220525-5-NAKED	2	206	20220525_BOTTOM_5_0002_0001.mp4	48160	33.39114	20220525_BOTTOM_5_0002_0001.mp4	58949	36.39108	1
20220525-5-NAKED	3	257	20220525_BOTTOM_5_0003_0001.mp4	12274	43.41281	20220525_BOTTOM_5_0003_0001.mp4	23062	46.41248	1
20220526-2-NAKED	0	229	20220526_BOTTOM_2_0006_0001.mp4	52574	114.61839	20220526_BOTTOM_2_0006_0001.mp4	63362	117.61806	1
20220526-2-NAKED	1	250	20220526_BOTTOM_2_0007_0001.mp4	27138	127.54575	20220526_BOTTOM_2_0007_0001.mp4	37926	130.54541	1
20220526-3-NAKED	0	258	20220526_BOTTOM_3_0001_0001.mp4	16811	4.67439	20220526_BOTTOM_3_0001_0001.mp4	27599	7.67406	1
20220526-3-NAKED	1	234	20220526_BOTTOM_3_0002_0001.mp4	12146	23.37724	20220526_BOTTOM_3_0002_0001.mp4	22934	26.37691	1
20220526-3-NAKED	2	213	20220526_BOTTOM_3_0002_0001.mp4	59628	36.57988	20220526_BOTTOM_3_0002_0001.mp4	70416	39.57954	1
