"name","armean","n","sd","se"
"Acanthaluteres brownii",1.29753994941711,1,NA,NA
"Acanthaluteres vittiger",2.15912008285522,1,NA,NA
"Achoerodus gouldii",0.852810978889465,1,NA,NA
"Anoplocapros lenticularis",1.95190000534058,1,NA,NA
"Bodianus frenchii",1.84759998321533,1,NA,NA
"Bodianus vulpinus",1.34079498052597,2,0.221685089615662,0.156755030155182
"Brachaluteres jacksonianus",1.71750998497009,1,NA,NA
"Callanthias allporti",2.5823700428009,1,NA,NA
"Callanthias australis",2.44581007957458,1,NA,NA
"Carcharhinus brevipinna",5.87938976287842,1,NA,NA
"Carcharhinus limbatus",2.00045496225357,2,0.904778450982036,0.639774978160858
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Centroberyx gerrardi",3.3235399723053,1,NA,NA
"Chelidonichthys kumu",0.996329009532928,1,NA,NA
"Cleidopus gloriamaris",1.32183003425598,1,NA,NA
"Coris auricularis",1.43893003463745,1,NA,NA
"Dactylophora nigricans",1.54736995697021,1,NA,NA
"Diodon nicthemerus",1.21811997890472,1,NA,NA
"Enoplosus armatus",2.15458011627197,1,NA,NA
"Epinephelides armatus",2.21627998352051,1,NA,NA
"Eubalichthys bucephalus",1.23651003837585,1,NA,NA
"Furgaleus macki",1.34795999526978,1,NA,NA
"Galeorhinus galeus",1.68761003017426,1,NA,NA
"Glaucosoma hebraicum",1.48939001560211,1,NA,NA
"Heterodontus portusjacksoni",1.04558002948761,1,NA,NA
"Hypoplectrodes nigroruber",0.748434007167816,1,NA,NA
"Kyphosus sydneyanus",3.07505011558533,1,NA,NA
"Latropiscis purpurissatus",1.02474999427795,1,NA,NA
"Meuschenia flavolineata",1.47362995147705,1,NA,NA
"Meuschenia freycineti",1.35854005813599,1,NA,NA
"Meuschenia galii",1.91628003120422,1,NA,NA
"Meuschenia scaber",1.26017999649048,1,NA,NA
"Mustelus antarcticus",1.19281995296478,1,NA,NA
"Neatypus obliquus",1.31579005718231,1,NA,NA
"Nelusetta ayraud",2.65024995803833,1,NA,NA
"Nemadactylus valenciennesi",2.59383988380432,1,NA,NA
"Neosebastes bougainvillii",1.97799003124237,1,NA,NA
"Neosebastes nigropunctatus",1.55280005931854,1,NA,NA
"Neosebastes pandus",1.15215003490448,1,NA,NA
"Notolabrus parilus",1.83448994159698,1,NA,NA
"Olisthops cyanomelas",1.08749997615814,1,NA,NA
"Oplegnathus woodwardi",2.22812008857727,1,NA,NA
"Othos dentex",1.54654002189636,1,NA,NA
"Chrysophrys auratus",3.30380010604858,1,NA,NA
"Parapercis haackei",0.919961988925934,1,NA,NA
"Parapercis ramsayi",1.39223003387451,1,NA,NA
"Parapriacanthus elongatus",1.8858699798584,1,NA,NA
"Parazanclistius hutchinsi",1.49391996860504,1,NA,NA
"Parequula melbournensis",1.2873500585556,1,NA,NA
"Parupeneus chrysopleuron",1.07956004142761,1,NA,NA
"Pempheris klunzingeri",2.59348011016846,1,NA,NA
"Pictilabrus laticlavius",0.674171984195709,1,NA,NA
"Plectorhinchus flavomaculatus",1.69519996643066,1,NA,NA
"Pristiophorus cirratus",NA,1,NA,NA
"Scobinichthys granulatus",2.00711989402771,1,NA,NA
"Scorpis aequipinnis",2.09751009941101,1,NA,NA
"Seriola hippos",3.1838800907135,1,NA,NA
"Seriola lalandi",3.69775998592377,2,0.292176620980799,0.206600069999695
"Sillaginodes punctatus",1.57580995559692,1,NA,NA
"Sphyraena novaehollandiae",3.62963008880615,1,NA,NA
"Sphyrna zygaena",1.66314500570297,2,0.0559109134164907,0.0395349860191345
"Suezichthys cyanolaemus",1.46160995960236,1,NA,NA
"Upeneichthys vlamingii",1.75473999977112,1,NA,NA
