"name","armean","n","sd","se"
"Acanthurus olivaceus",2.08405795097351,5,0.347093242812298,0.155224817091828
"Acanthurus xanthopterus",1.99968997637431,3,0.412586072703107,0.238206680139029
"Anampses caeruleopunctatus",1.54439997673035,1,NA,NA
"Anampses geographicus",1.54083997011185,2,0.379956789605105,0.26867002248764
"Bodianus bilunulatus",1.53383499383926,2,0.0834314567949522,0.0589949488639831
"Bodianus vulpinus",1.34079498052597,2,0.221685089615662,0.156755030155182
"Carangoides fulvoguttatus",4.77175498008728,2,0.647193855916553,0.457635164260864
"Carcharhinus plumbeus",3.17827498912811,2,0.469653291137505,0.33209502696991
"Chaetodon assarius",2.87667989730835,1,NA,NA
"Chaetodon auriga",2.42989993095398,2,0.257924214370784,0.182379961013794
"Chaetodon lunula",2.38274002075195,2,0.0641063681094341,0.0453300476074219
"Chaetodontoplus personifer",1.81692004203796,1,NA,NA
"Coris auricularis",1.43893003463745,1,NA,NA
"Coris caudimacula",1.17453002929688,1,NA,NA
"Echeneis naucrates",1.53934001922607,1,NA,NA
"Epinephelus rivulatus",1.33246248960495,4,0.183922581049289,0.0919612905246446
"Galeocerdo cuvier",1.38594397902489,2,0.709349710023752,0.501585990190506
"Labroides dimidiatus",1.07647001743317,1,NA,NA
"Lagocephalus sceleratus",1.8027800321579,1,NA,NA
"Lethrinus miniatus",2.12179505825043,2,0.0798111268015634,0.0564349889755249
"Lethrinus nebulosus",1.83706504106522,2,0.0790050261769441,0.0558649897575378
"Lethrinus ravus",1.78229999542236,1,NA,NA
"Nelusetta ayraud",2.65024995803833,1,NA,NA
"Netuma thalassina",2.64145505428314,2,0.273784747815009,0.193595051765442
"Ostorhinchus angustatus",1.46783500909805,2,0.215109001136204,0.152105033397675
"Chrysophrys auratus",3.30380010604858,1,NA,NA
"Paracirrhites forsteri",1.15489000082016,2,0.0209868546286056,0.0148399472236633
"Parapercis haackei",0.919961988925934,1,NA,NA
"Parapercis nebulosa",1.57743000984192,1,NA,NA
"Parupeneus spilurus",1.81445002555847,1,NA,NA
"Pentapodus nagasakiensis",1.78991001844406,2,0.312102892313477,0.220690071582794
"Pomacanthus semicirculatus",1.98792999982834,2,0.414817122358042,0.293320000171661
"Scarus ghobban",1.7747700214386,1,NA,NA
"Seriola dumerili",2.83157002925873,2,0.259168895101007,0.183260083198547
"Seriola hippos",3.1838800907135,1,NA,NA
"Siganus argenteus",3.82368993759155,1,NA,NA
"Siganus punctatus",2.90688991546631,1,NA,NA
"Sphyrna lewini",1.808090031147,2,0.1877651373467,0.132770001888275
"Suezichthys cyanolaemus",1.46160995960236,1,NA,NA
"Taeniurops meyeni",NA,1,NA,NA
"Thalassoma lutescens",1.57644999027252,1,NA,NA
"Zanclus cornutus",2.26680338382721,3,0.60559539433351,0.34964066393845
